Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Irf2	641.666667	0	1178	1127	1081	403	0	236	657	1093	0
Zmym6	625.444444	0	120	167	274	2014	1840	938	0	276	0
Ogfr	619.444444	0	717	331	361	1208	0	565	1164	1229	0
Amdhd2	618.666667	0	0	0	0	2230	2181	971	0	186	0
B9d2	618.111111	0	2484	1269	1810	0	0	0	0	0	0
Vrk1	610.333333	0	3024	768	956	0	0	0	504	241	0
Chac1	600.111111	0	967	778	1285	542	0	509	535	785	0
Trib1	594.222222	0	0	350	487	1461	0	345	1226	1479	0
1810013L24Rik	594.111111	0	833	848	1139	564	218	172	644	929	0
Sirt6	594.000000	0	483	769	1035	1377	0	223	675	784	0
Atp6v0b	592.555556	0	0	0	0	2375	2106	852	0	0	0
Clpx	585.000000	0	879	536	499	1399	0	309	979	664	0
Dtx3l	576.000000	0	489	570	741	1408	204	261	692	819	0
Lamp1	568.555556	0	0	0	0	2061	1834	1222	0	0	0
Afg1l	565.666667	0	2612	420	721	99	0	0	942	297	0
Slc15a3	555.444444	117	2611	304	670	0	0	0	603	694	0
Parp9	553.333333	0	489	570	741	1408	0	261	692	819	0
Rrp8	547.222222	0	2080	954	1477	146	0	0	268	0	0
Ilk	547.222222	0	2080	954	1477	146	0	0	268	0	0
Gga1	545.555556	0	1234	191	362	1064	0	302	852	905	0
Galm	544.777778	0	2144	1004	1426	127	0	0	202	0	0
Ilf3	540.666667	0	0	0	135	1848	1795	699	162	227	0
Washc2	538.444444	0	0	0	0	2147	1748	727	0	224	0
Sirpa	536.222222	0	1635	1506	1685	0	0	0	0	0	0
Psmb10	531.777778	0	645	1021	1645	712	0	201	318	244	0
Zfp91	530.333333	0	789	611	671	619	0	147	1141	795	0
Lpxn	530.333333	0	789	611	671	619	0	147	1141	795	0
Dvl2	525.444444	0	0	0	0	2133	1914	682	0	0	0
Gm2a	522.666667	0	594	324	569	1069	0	397	785	966	0
Tnfaip3	521.888889	0	1564	260	429	471	369	0	999	605	0
Cdk4	511.111111	0	0	0	0	2025	1807	768	0	0	0
Uhrf1bp1l	510.888889	0	251	334	840	1280	0	268	1165	460	0
Ankrd12	510.444444	0	0	0	0	2268	1800	400	0	126	0
Vps33a	510.222222	0	0	0	0	2111	1800	337	168	176	0
Lair1	508.111111	0	2487	724	1159	0	0	0	203	0	0
Camta1	503.222222	0	617	528	561	834	0	514	656	819	0
Nfe2	502.222222	0	1341	1070	1513	0	0	0	215	381	0
Kdm4c	501.111111	0	0	0	0	2203	1595	501	0	211	0
Usp3	498.333333	0	170	346	229	620	0	129	1388	1603	0
Asmt	493.222222	232	393	808	910	209	233	447	552	655	0
Slc36a1	492.111111	0	0	0	0	2139	1828	368	0	94	0
Lpp	492.000000	0	963	437	583	736	0	182	915	612	0
Il7r	491.555556	0	1144	403	382	190	0	189	1800	316	0
Stat2	490.111111	0	1100	371	595	863	0	140	878	464	0
Cd151	487.555556	0	1434	1151	1378	425	0	0	0	0	0
Nme1	485.444444	0	277	138	204	1316	272	440	829	893	0
Art2b	483.333333	0	0	0	0	1087	0	459	2589	215	0
Mfsd1	479.222222	0	0	0	0	1736	1663	708	0	206	0
Trem2	477.333333	0	1737	1118	1441	0	0	0	0	0	0
Pdcd1lg2	474.111111	0	1002	574	888	319	0	242	942	300	0
Stat5a	473.555556	0	0	0	0	548	160	407	1999	1148	0
Osgep	472.333333	0	0	0	0	1907	1620	427	92	205	0
Apex1	472.333333	0	0	0	0	1907	1620	427	92	205	0
Zfp493	470.666667	0	524	821	838	341	0	346	856	510	0
Rad9a	470.555556	0	0	0	0	2134	1723	378	0	0	0
Cbr3	460.111111	0	1278	461	703	229	0	110	589	771	0
Ccr8	460.000000	0	0	0	0	587	0	167	1940	1446	0
Naa35	459.888889	0	931	432	778	739	0	168	431	660	0
Elf4	459.888889	0	1186	874	1254	291	0	200	161	173	0
Neurl2	459.666667	0	0	0	78	2138	1521	322	0	78	0
Ctsa	459.666667	0	0	0	78	2138	1521	322	0	78	0
Ifi203	457.777778	0	248	0	0	532	0	546	1883	911	0
Yipf2	456.111111	0	1157	733	955	283	0	147	376	454	0
Timm29	456.111111	0	1157	733	955	283	0	147	376	454	0
Retreg2	455.333333	0	0	0	0	2119	1770	209	0	0	0
Cnppd1	455.333333	0	0	0	0	2119	1770	209	0	0	0
Mcoln1	454.888889	0	0	0	0	1937	1765	253	0	139	0
Unk	453.777778	0	2188	320	626	174	0	0	420	356	0
Cln5	452.555556	0	2453	505	692	301	122	0	0	0	0
Atxn3	451.666667	0	0	0	0	2072	1694	299	0	0	0
Bax	450.222222	0	0	0	0	1821	1706	417	0	108	0
Tomt	449.666667	0	0	0	0	1872	1570	444	0	161	0
Lamtor1	449.666667	0	0	0	0	1872	1570	444	0	161	0
Ube2b	449.111111	0	0	0	0	1904	1871	267	0	0	0
Sestd1	448.555556	0	2414	651	972	0	0	0	0	0	0
Iqcf1	447.666667	0	0	0	0	2261	0	605	828	335	0
Lztfl1	445.222222	0	0	0	0	1636	1606	279	157	329	0
Ms4a7	445.111111	0	2051	784	1171	0	0	0	0	0	0
Tigit	444.555556	0	0	0	0	1445	0	859	975	722	0
Mthfr	444.444444	0	0	0	0	1929	1708	239	0	124	0
Clcn6	444.444444	0	0	0	0	1929	1708	239	0	124	0
Clint1	441.444444	0	558	819	1161	145	0	306	821	163	0
Ankrd24	439.333333	0	483	769	1035	208	0	0	675	784	0
Mmachc	438.222222	0	609	133	196	449	0	399	1311	847	0
Ccdc163	438.222222	0	609	133	196	449	0	399	1311	847	0
Pilrb1	437.000000	0	233	0	0	1260	176	244	1116	904	0
Tut1	436.666667	0	379	202	358	1404	0	287	734	566	0
Zbtb40	435.000000	0	118	0	0	1700	1476	307	143	171	0
H2-K1	429.222222	1459	1756	0	0	378	197	0	73	0	0
Gpn3	423.666667	0	0	130	167	1169	104	209	816	1218	0
Fam216a	423.666667	0	0	130	167	1169	104	209	816	1218	0
Manbal	422.333333	0	1953	562	1118	0	0	0	0	168	0
Commd9	421.777778	0	0	0	0	1839	1329	170	208	250	0
Zfp292	418.222222	0	0	0	0	1846	1542	269	0	107	0
Cnot4	418.222222	0	732	168	317	582	264	134	922	645	0
Klk1b11	414.333333	0	2064	743	922	0	0	0	0	0	0
Tfpt	413.777778	0	574	89	259	769	0	278	882	873	0
Prpf31	413.777778	0	574	89	259	769	0	278	882	873	0
Dapp1	412.888889	0	685	162	445	850	0	348	1133	93	0
Nup188	411.222222	0	0	0	0	1867	1603	231	0	0	0
Dolk	411.222222	0	0	0	0	1867	1603	231	0	0	0
Rnf24	410.444444	0	2270	580	844	0	0	0	0	0	0
Parp11	410.000000	0	293	250	294	643	462	259	1172	317	0
Lbr	409.444444	0	0	0	0	1384	0	300	937	1064	0
Pip4p1	406.222222	0	544	0	0	1317	1118	210	113	354	0
Med28	406.111111	0	0	0	0	1831	1538	188	0	98	0
Spns1	405.555556	0	0	0	163	1609	1309	273	106	190	0
Wdr36	405.333333	0	518	806	1461	300	0	0	235	328	0
Sppl3	404.666667	0	0	0	0	1869	1382	391	0	0	0
Wdr81	404.111111	0	0	0	0	1755	1456	319	0	107	0
Hps1	403.000000	0	0	0	0	1823	1427	268	0	109	0
Ifi204	402.777778	0	1818	455	1045	0	0	0	307	0	0
Vav3	402.666667	0	999	1220	1231	0	0	0	0	174	0
Eef2	402.333333	0	0	0	0	1945	1491	185	0	0	0
Eif4g1	400.777778	0	0	0	0	1808	1497	302	0	0	0
Sspn	397.666667	0	0	463	207	668	687	501	387	666	0
Cish	397.444444	0	186	0	238	1170	0	215	1026	742	0
Rcbtb1	394.333333	0	0	0	0	1742	1144	398	81	184	0
Nagpa	392.333333	0	0	0	0	1938	1321	272	0	0	0
4921524J17Rik	391.333333	0	151	0	0	1104	0	696	639	932	0
Tm4sf19	390.888889	0	258	1390	1870	0	0	0	0	0	0
Mtdh	390.333333	0	0	0	138	1511	1523	268	0	73	0
Gm5544	390.222222	0	892	334	387	430	0	257	695	517	0
Fam13b	387.111111	0	1736	450	697	0	0	243	358	0	0
Pros1	386.222222	0	0	0	0	868	0	380	1983	245	0
Gbp7	385.111111	0	1355	228	331	158	0	0	900	494	0
Trmo	383.555556	0	0	0	0	1614	1305	159	218	156	0
Dhx35	383.222222	0	266	0	227	1396	1125	149	177	109	0
Agpat1	381.777778	0	1078	922	1215	0	0	0	0	221	0
Rpusd4	380.666667	0	0	0	0	1704	1176	153	393	0	0
Fam118b	380.666667	0	0	0	0	1704	1176	153	393	0	0
Syt12	380.444444	0	0	0	0	760	0	863	1396	405	0
Stmn1	377.888889	0	0	0	0	1659	1340	222	0	180	0
Nup153	377.000000	0	327	162	425	659	88	151	604	977	0
Map3k8	375.777778	1627	1560	0	88	0	0	0	0	107	0
S100a13	375.555556	1533	1847	0	0	0	0	0	0	0	0
S100a1	375.555556	1533	1847	0	0	0	0	0	0	0	0
Camk2d	375.333333	0	0	0	0	1629	1490	0	95	164	0
Treml2	374.333333	0	615	230	390	682	0	141	609	702	0
Cbl	374.333333	0	2140	209	610	193	0	0	0	217	0
Thrap3	373.444444	0	0	0	0	1394	1163	196	149	459	0
Id1	371.888889	0	412	0	0	230	159	250	1853	443	0
Ticam1	371.777778	0	1408	132	408	388	0	176	619	215	0
Zfp207	369.888889	0	0	95	221	1311	1148	121	165	268	0
Rab15	368.888889	0	1856	462	1002	0	0	0	0	0	0
Spink10	367.888889	0	277	0	300	883	64	178	634	975	0
Fbxo38	367.888889	0	277	0	300	883	64	178	634	975	0
Dpp7	367.444444	0	0	0	0	1761	1351	195	0	0	0
Sgo1	367.000000	0	226	60	0	1451	1285	135	0	146	0
Mpv17l2	364.444444	0	431	257	310	852	0	292	558	580	0
Slc2a6	364.111111	0	561	140	0	514	0	0	1031	1031	0
Cln3	361.444444	0	0	0	107	1709	1138	172	127	0	0
Cenpu	360.888889	0	120	1004	1224	260	0	142	164	334	0
Rps28	359.444444	0	0	0	0	1604	1125	149	113	244	0
Ndufa7	359.444444	0	0	0	0	1604	1125	149	113	244	0
Ccnyl1	358.777778	0	0	0	0	1789	1220	220	0	0	0
Atp6v0d1	357.555556	0	0	0	0	1647	1325	246	0	0	0
Atg16l1	356.666667	0	666	288	579	432	0	96	384	765	0
Wbp2	355.000000	0	0	0	0	1412	1214	134	236	199	0
S100a3	354.333333	0	961	371	703	468	141	0	256	289	0
Ablim1	354.222222	0	1663	170	400	408	0	0	364	183	0
Plekhf2	354.000000	0	729	477	747	143	0	190	405	495	0
Tmem126b	353.111111	0	441	355	389	916	861	0	216	0	0
Cuta	351.888889	0	0	0	0	1602	1011	239	190	125	0
Fam71b	351.111111	0	0	0	0	1417	0	287	1235	221	0
Cdc37	349.777778	1330	1737	0	0	0	0	0	0	81	0
Slc38a7	349.000000	0	0	0	0	1469	1483	86	103	0	0
Ubxn6	347.111111	0	448	0	98	734	338	118	751	637	0
Tlr6	346.888889	0	499	548	1047	0	0	0	597	431	0
Nptn	346.555556	0	0	0	0	1677	1284	158	0	0	0
Matk	346.000000	0	409	911	1239	555	0	0	0	0	0
Slc35a5	344.888889	0	0	0	0	1489	1182	226	0	207	0
Atg3	344.888889	0	0	0	0	1489	1182	226	0	207	0
Arhgap12	344.777778	0	0	0	127	1609	1228	139	0	0	0
Cfap46	343.111111	0	0	0	0	1107	0	302	1425	254	0
Scamp3	342.666667	0	0	0	125	1293	1097	231	101	237	0
Bloc1s1	342.222222	0	0	0	0	1490	1218	267	0	105	0
Mcf2l	341.555556	0	0	0	192	1907	0	427	548	0	0
Srsf3	341.444444	0	0	0	98	1649	1169	0	0	157	0
Orai2	341.444444	0	0	0	0	1714	1153	206	0	0	0
Ip6k1	341.222222	0	0	0	0	1752	1319	0	0	0	0
Rmnd1	340.555556	0	0	0	135	1419	846	252	133	280	0
Armt1	340.555556	0	0	0	135	1419	846	252	133	280	0
Dnajc13	340.222222	0	0	0	0	1663	1049	254	0	96	0
Myo1c	339.000000	0	332	378	466	675	0	227	556	417	0
Cd52	338.222222	0	657	150	253	718	0	215	448	603	0
Nudt9	337.888889	0	0	0	96	1445	937	245	135	183	0
H2-Q4	337.888889	1419	1387	0	0	0	139	0	96	0	0
Slc49a4	335.888889	0	0	0	0	1427	1141	145	191	119	0
Tnfsf13	334.666667	0	1051	792	1169	0	0	0	0	0	0
Adck1	334.666667	0	351	473	675	307	156	98	313	639	0
Dyrk1b	332.111111	0	0	0	0	1542	1284	163	0	0	0
Tspan14	331.888889	0	2089	396	502	0	0	0	0	0	0
Eif5a	331.666667	0	0	0	171	986	378	209	650	591	0
Dok2	329.222222	0	2011	106	211	271	0	0	364	0	0
Tnpo2	329.111111	0	0	0	0	1464	1199	185	0	114	0
Gtf2f1	328.777778	0	0	0	0	1292	1189	239	86	153	0
Steap3	326.333333	0	0	212	452	1200	0	340	307	426	0
Atp6v1h	326.333333	0	0	0	163	1388	969	222	0	195	0
Igtp	325.666667	0	479	118	214	527	0	205	678	710	0
Sys1	325.111111	0	0	0	0	1153	0	463	484	826	0
Zzz3	323.111111	0	0	0	0	1350	1148	257	0	153	0
Slc20a1	322.222222	0	0	0	0	1429	1116	213	0	142	0
Nek7	322.000000	0	179	250	498	646	0	0	473	852	0
Vdac1	321.666667	1506	1140	0	119	0	0	0	0	130	0
Irgm2	321.000000	0	529	191	305	632	0	0	580	652	0
Gzma	320.111111	0	0	0	0	1539	0	0	1115	227	0
Pspc1	318.444444	0	765	277	484	336	0	247	467	290	0
Olfr525	318.444444	0	0	0	0	1735	0	224	743	164	0
Srf	318.222222	0	1466	613	785	0	0	0	0	0	0
Ctsz	317.222222	0	1253	504	1098	0	0	0	0	0	0
AW549877	316.888889	0	0	201	313	1245	656	138	158	141	0
Ikzf1	315.555556	0	1525	291	542	0	0	0	383	99	0
Suz12	315.333333	0	369	0	0	460	0	285	1139	585	0
Clcn7	315.111111	0	0	0	0	1379	950	148	167	192	0
Atf4	314.666667	0	0	133	354	994	663	229	126	333	0
Fyco1	314.111111	0	138	81	100	416	88	113	601	1290	0
Tbc1d13	312.666667	0	0	0	0	1378	1098	221	117	0	0
Akap11	312.555556	0	0	0	0	1526	1123	164	0	0	0
Klhl33	312.111111	0	1716	400	693	0	0	0	0	0	0
Trpm7	311.888889	0	0	0	0	1324	1083	225	0	175	0
D16Ertd472e	311.777778	0	379	0	146	447	126	89	1167	452	0
Ctse	311.555556	0	284	0	144	933	0	0	922	521	0
Art2a	311.555556	0	0	0	0	732	0	297	1597	178	0
Ubn1	310.666667	0	0	0	0	1388	1111	169	0	128	0
Glyr1	310.666667	0	0	0	0	1388	1111	169	0	128	0
Hmgcl	309.888889	0	0	0	0	1502	1287	0	0	0	0
Eftud2	309.888889	0	0	0	0	1390	1081	113	0	205	0
Ccdc103	309.888889	0	0	0	0	1390	1081	113	0	205	0
Gba	309.666667	0	0	0	0	1398	1173	108	108	0	0
Hdgfl2	309.555556	0	448	0	98	734	0	118	751	637	0
Katnb1	309.111111	0	593	141	240	0	0	261	741	806	0
Trmt10a	308.333333	0	0	0	124	1240	1095	0	93	223	0
Mttp	308.333333	0	0	0	124	1240	1095	0	93	223	0
Mgl2	308.222222	0	1817	346	611	0	0	0	0	0	0
Eif4e	306.222222	0	0	119	0	1135	812	0	494	196	0
Vps11	305.666667	0	0	0	0	1365	971	147	111	157	0
Dctn4	305.000000	0	0	0	0	1507	1100	0	0	138	0
Atp6v1c1	305.000000	0	0	0	0	1278	1070	231	0	166	0
Ube2q1	304.555556	0	0	0	0	1279	1030	432	0	0	0
Rmc1	301.111111	0	0	0	0	1172	1055	228	119	136	0
Chil3	300.444444	0	279	1032	1393	0	0	0	0	0	0
Ndel1	300.222222	0	0	0	0	1442	1161	0	0	99	0
P2ry13	300.111111	0	1127	585	989	0	0	0	0	0	0
Nrbf2	298.777778	0	374	412	856	642	405	0	0	0	0
9430038I01Rik	297.777778	0	795	319	531	525	354	0	0	156	0
Itsn2	297.666667	0	1055	652	710	0	0	0	147	115	0
Ttc21a	297.000000	0	0	0	0	925	937	0	519	292	0
Gorasp1	297.000000	0	0	0	0	925	937	0	519	292	0
Mapre1	296.888889	0	0	0	0	1569	1103	0	0	0	0
Ifi211	296.888889	0	1265	448	758	0	0	0	201	0	0
Dnajb9	296.444444	0	0	0	0	1256	826	111	159	316	0
Grcc10	296.333333	0	427	115	135	437	0	309	663	581	0
Hnrnph2	295.333333	0	0	0	0	1469	1077	0	0	112	0
Gla	295.333333	0	0	0	0	1469	1077	0	0	112	0
Spryd4	295.222222	0	0	0	0	1512	1145	0	0	0	0
H2-Q9	295.111111	1409	1247	0	0	0	0	0	0	0	0
H2-Q7	295.111111	1409	1247	0	0	0	0	0	0	0	0
Ggps1	295.111111	0	430	100	236	406	0	148	824	512	0
Arid4b	295.111111	0	430	100	236	406	0	148	824	512	0
Mydgf	294.444444	0	0	0	0	1482	1039	129	0	0	0
Hexa	293.777778	0	0	0	0	1092	795	601	0	156	0
Btbd8	293.777778	0	0	0	0	1396	977	118	0	153	0
Hps5	293.555556	0	0	0	0	1314	993	228	0	107	0
Gtf2h1	293.555556	0	0	0	0	1314	993	228	0	107	0
Morc2a	292.777778	0	0	0	0	1360	875	168	0	232	0
Sumf1	292.333333	0	0	0	0	1599	913	119	0	0	0
Rbm15b	292.000000	0	0	0	0	1376	1027	225	0	0	0
Slc37a4	291.888889	0	1851	0	131	304	155	0	186	0	0
Smc3	290.666667	0	0	0	0	1438	921	0	119	138	0
Birc3	289.777778	0	454	0	0	373	0	0	775	1006	0
Trpm3	289.555556	0	622	835	1149	0	0	0	0	0	0
Armc9	289.222222	0	0	0	0	1212	1279	0	112	0	0
H2-Q8	288.444444	1356	1240	0	0	0	0	0	0	0	0
H2-Q6	288.444444	1356	1240	0	0	0	0	0	0	0	0
Fbxo33	287.666667	0	280	216	239	873	468	0	197	316	0
Cltc	287.444444	0	112	302	529	520	381	219	149	375	0
Slc17a5	286.666667	0	1137	414	529	139	0	0	190	171	0
Hpgds	286.555556	0	1530	201	381	0	0	0	323	144	0
Slc18a1	286.222222	0	1416	387	448	126	86	0	0	113	0
Atp6v1b2	286.222222	0	1416	387	448	126	86	0	0	113	0
Tnip3	286.111111	0	1643	288	644	0	0	0	0	0	0
Lmna	285.444444	0	247	440	435	982	0	103	192	170	0
Fam214a	285.111111	0	280	0	0	1236	854	81	0	115	0
2310022A10Rik	284.888889	0	1173	147	162	405	452	0	0	225	0
Ubxn1	284.444444	0	0	0	0	1358	1056	0	0	146	0
Cass4	283.555556	0	940	358	734	0	0	114	327	79	0
Lrpprc	282.777778	0	0	157	306	1068	688	140	0	186	0
Nup54	282.666667	0	677	147	149	640	368	0	256	307	0
Togaram1	282.222222	0	0	0	0	1054	701	121	130	534	0
Klhl28	282.222222	0	0	0	0	1054	701	121	130	534	0
Slc33a1	281.222222	0	0	151	270	785	784	0	219	322	0
Gm11541	279.888889	0	1216	252	321	318	0	141	271	0	0
Gnpda1	277.777778	0	0	0	0	1383	779	234	0	104	0
1700037H04Rik	277.777778	0	0	0	0	1335	1165	0	0	0	0
Igf2r	276.444444	0	0	0	106	1111	1041	230	0	0	0
Lmtk2	274.444444	0	1849	0	0	340	281	0	0	0	0
Insig1	274.444444	0	0	0	0	1468	860	142	0	0	0
Prkcsh	274.222222	0	0	0	0	1177	729	116	203	243	0
Ccdc151	274.222222	0	0	0	0	1177	729	116	203	243	0
Stx6	273.666667	0	0	0	0	1046	792	0	397	228	0
Commd8	273.555556	0	0	0	0	1312	995	0	0	155	0
Tlr8	272.888889	0	1204	314	938	0	0	0	0	0	0
Syce1l	272.555556	0	2104	84	265	0	0	0	0	0	0
Cmtm6	272.222222	0	321	107	142	389	111	152	957	271	0
Cd84	271.555556	0	777	170	177	361	0	0	656	303	0
Socs3	271.222222	0	363	399	423	342	0	172	217	525	0
Seh1l	271.222222	0	0	277	240	573	182	0	539	630	0
Oser1	271.222222	0	0	111	0	1089	826	0	166	249	0
Gadd45b	270.666667	0	481	464	483	274	322	0	202	210	0
Commd4	269.666667	0	0	0	0	1239	959	118	111	0	0
Mien1	269.222222	0	0	0	0	1109	904	121	89	200	0
B2m	268.888889	0	307	316	553	294	224	0	398	328	0
Arid5a	268.777778	0	1082	0	230	200	0	0	321	586	0
Top3a	268.333333	0	0	0	132	896	625	120	358	284	0
Smcr8	268.333333	0	0	0	132	896	625	120	358	284	0
Spring1	267.666667	0	0	0	0	1040	794	151	172	252	0
Rnft2	267.666667	0	0	0	0	1040	794	151	172	252	0
Pycr2	267.222222	0	0	0	0	1352	961	0	0	92	0
Tiparp	266.888889	0	617	628	759	229	0	0	169	0	0
Mob3b	266.444444	0	1690	291	417	0	0	0	0	0	0
Tpp1	266.111111	0	0	0	0	1217	1020	158	0	0	0
Ubtf	265.555556	0	146	0	0	715	0	462	506	561	0
Tasp1	265.111111	0	0	0	0	1319	969	0	0	98	0
Ms4a4a	264.888889	0	1395	330	659	0	0	0	0	0	0
Ccl7	264.444444	0	1858	165	357	0	0	0	0	0	0
Gatb	264.333333	0	0	158	193	622	266	155	321	664	0
Rnasek	263.111111	0	0	0	0	1330	951	87	0	0	0
Rasal3	262.444444	0	0	0	95	874	589	0	334	470	0
Ddx5	262.111111	0	0	175	195	1022	678	94	0	195	0
Cep95	262.111111	0	0	175	195	1022	678	94	0	195	0
Phf20	262.000000	0	0	0	0	1322	936	100	0	0	0
Mtch1	259.222222	0	0	0	0	1327	908	98	0	0	0
Elk4	258.777778	0	581	256	427	158	0	0	499	408	0
Itgax	258.111111	0	214	561	1084	287	0	0	96	81	0
Csk	257.888889	0	1655	166	201	0	0	0	299	0	0
Rragc	257.555556	0	0	0	0	1184	861	164	0	109	0
Sult6b2	256.666667	0	1775	196	339	0	0	0	0	0	0
C87436	256.444444	0	0	0	136	1085	917	0	0	170	0
Vps26a	256.000000	0	0	0	0	1333	892	0	0	79	0
Tor1aip2	256.000000	0	718	247	205	522	374	0	0	238	0
Chil4	255.444444	0	499	657	1143	0	0	0	0	0	0
Srsf2	255.333333	0	0	0	134	1024	933	0	0	207	0
Mfsd11	255.333333	0	0	0	134	1024	933	0	0	207	0
Erap1	254.111111	0	258	0	122	396	249	151	714	397	0
Serf2	254.000000	0	0	0	0	1121	908	257	0	0	0
Nlrp1b	253.000000	0	679	115	220	224	0	0	720	319	0
Cst7	253.000000	0	204	0	0	778	0	0	556	739	0
Il17d	252.777778	0	0	0	0	0	0	1247	1028	0	0
Aff4	252.333333	0	0	0	0	1259	908	104	0	0	0
Dohh	251.111111	0	0	0	0	1158	836	129	137	0	0
Mapre2	251.000000	0	0	0	0	1156	991	0	0	112	0
Usp39	250.666667	0	228	0	0	588	0	320	1053	67	0
Mei4	250.666667	0	0	0	0	827	0	0	1137	292	0
Supv3l1	250.333333	0	0	0	168	1019	666	81	131	188	0
Sde2	250.111111	0	0	0	0	884	514	217	203	433	0
Tbc1d16	249.111111	0	1635	179	428	0	0	0	0	0	0
Rpl23	249.111111	0	0	0	0	1271	623	0	135	213	0
Ccdc40	249.111111	0	1635	179	428	0	0	0	0	0	0
Ciart	248.777778	0	0	0	0	1040	856	204	0	139	0
Cd164	248.777778	0	0	0	0	1132	849	120	0	138	0
Ap5z1	248.666667	0	0	0	0	1353	755	130	0	0	0
Eif4a3	248.555556	0	228	0	0	537	0	286	613	573	0
Dock10	248.444444	0	1498	0	157	202	0	0	196	183	0
Qtrt1	247.888889	0	0	0	0	1235	907	89	0	0	0
Tecpr2	247.666667	0	0	184	190	1070	0	105	251	429	0
Cinp	247.666667	0	0	184	190	1070	0	105	251	429	0
Prpf3	247.222222	0	0	0	0	1289	759	105	0	72	0
Atp11b	246.888889	0	0	0	0	163	0	209	1398	452	0
Ints10	246.666667	0	0	563	870	193	0	159	157	278	0
Nmi	245.666667	0	1210	191	553	0	0	0	138	119	0
Birc6	243.666667	0	270	189	221	228	0	198	467	620	0
Spty2d1	243.333333	0	116	333	302	504	98	0	355	482	0
Cep162	242.555556	0	0	0	0	1122	667	111	94	189	0
Gid4	242.333333	0	0	110	0	831	498	0	255	487	0
Crebl2	241.666667	0	86	0	0	91	0	150	1428	420	0
Cipc	241.666667	0	0	0	0	1110	825	0	0	240	0
Med13	240.777778	0	283	0	0	968	728	0	0	188	0
Aldh3a2	240.222222	0	0	0	0	964	796	130	102	170	0
Ints6	240.111111	0	0	0	0	1197	812	0	0	152	0
Rab21	239.444444	0	0	0	0	1302	722	131	0	0	0
Dhdds	239.111111	0	0	0	0	1164	834	0	0	154	0
Rps15	238.555556	0	243	265	320	513	105	161	212	328	0
Crebrf	238.333333	0	0	0	0	609	672	279	247	338	0
Adhfe1	238.333333	0	820	551	774	0	0	0	0	0	0
Tor3a	237.444444	0	510	230	588	122	0	0	405	282	0
Ap2m1	237.333333	0	0	0	0	757	617	0	333	429	0
Ppp2r5c	236.888889	0	0	0	0	1140	992	0	0	0	0
Vapa	236.666667	0	0	0	0	1156	866	108	0	0	0
