Target_genes	Stat4|Average	SRX3324130|Natural_Killer_T-Cells	SRX3324132|Natural_Killer_T-Cells	SRX3324134|Natural_Killer_T-Cells	SRX3324136|Natural_Killer_T-Cells	SRX3324138|Natural_Killer_T-Cells	SRX021624|Th1_Cells	SRX021625|Th1_Cells	SRX041279|Th1_Cells	STRING
Gpr155	244.750000	153	0	0	0	0	1805	0	0	0
Tgfbr2	241.125000	0	0	0	0	0	1929	0	0	0
Rdm1	240.375000	665	759	267	0	96	136	0	0	0
Trim41	239.750000	621	0	153	0	0	1144	0	0	0
Bbs12	238.375000	828	0	0	0	0	1079	0	0	0
Serinc5	236.500000	348	204	253	0	0	939	0	148	0
Wdr36	233.250000	303	0	137	0	0	1426	0	0	0
Pus7l	232.750000	139	0	0	0	0	1434	0	289	0
Irak4	232.750000	139	0	0	0	0	1434	0	289	0
Elovl4	232.375000	0	0	0	0	0	1859	0	0	0
Hspa8	229.375000	227	0	186	0	91	1331	0	0	0
Lrp8	228.875000	213	0	0	0	0	1618	0	0	0
Fos	228.500000	343	142	173	0	0	1170	0	0	0
Btbd1	228.000000	444	316	327	0	0	602	0	135	0
Ifng	227.625000	234	191	0	0	0	1396	0	0	0
Stx11	227.000000	494	133	235	0	0	954	0	0	0
Gfus	226.250000	432	187	242	0	0	663	0	286	0
Esrra	225.875000	94	0	103	0	0	1452	0	158	0
Ikzf4	224.875000	0	0	0	0	0	1577	0	222	0
Ttbk2	224.125000	103	0	112	0	0	1423	0	155	0
Nfxl1	223.500000	481	0	137	0	0	1016	0	154	0
Bzw1	223.500000	0	0	0	0	0	1788	0	0	0
Ctsb	221.750000	0	0	0	0	0	1539	0	235	0
Tex14	221.250000	629	582	263	0	180	116	0	0	0
Ccr5	220.625000	502	202	127	0	0	934	0	0	0
Pon2	220.500000	536	0	137	0	0	759	0	332	0
H4c3	219.750000	541	237	382	0	254	200	144	0	0
Tox2	219.375000	0	0	0	0	0	1755	0	0	0
Ivns1abp	219.375000	169	0	0	0	0	1477	0	109	0
Apobec3	218.500000	524	330	304	0	104	486	0	0	0
Rapgef6	217.250000	658	0	222	0	0	858	0	0	0
Ndufa3	217.000000	0	0	0	0	0	1736	0	0	0
Slf1	216.000000	442	316	222	0	0	555	0	193	0
2210408I21Rik	216.000000	442	316	222	0	0	555	0	193	0
Gcc1	215.875000	0	0	0	0	0	1605	0	122	0
Tpt1	215.750000	457	141	110	0	0	1018	0	0	0
9130023H24Rik	215.625000	833	0	164	0	0	728	0	0	0
Map3k5	215.375000	0	0	0	0	0	1351	0	372	0
Rrad	215.125000	542	0	72	0	0	1107	0	0	0
Arl6ip1	213.375000	405	150	305	0	0	847	0	0	0
Fam240a	213.250000	0	0	0	0	0	1706	0	0	0
Zfp429	213.125000	417	196	252	0	0	840	0	0	0
Mfsd13a	212.875000	0	0	0	0	0	1703	0	0	0
Laptm5	212.875000	0	0	0	0	0	1609	0	94	0
Pde12	211.875000	174	0	0	0	0	1521	0	0	0
Cyp1b1	211.750000	641	0	104	0	0	949	0	0	0
Rel	211.500000	234	0	110	0	0	1348	0	0	0
Car12	211.500000	0	0	0	0	0	1692	0	0	0
Muc1	210.250000	601	335	415	0	0	331	0	0	0
Use1	209.500000	0	0	0	0	0	1676	0	0	0
Sapcd2	209.375000	0	0	0	0	0	1675	0	0	0
Czib	209.125000	238	0	0	0	0	1435	0	0	0
Kctd13	208.500000	353	168	192	0	170	785	0	0	0
Tm9sf2	208.000000	228	0	222	0	0	1214	0	0	0
Ppme1	207.500000	311	195	183	0	0	971	0	0	0
C2cd3	207.500000	311	195	183	0	0	971	0	0	0
Stat1	206.750000	462	0	155	0	0	1037	0	0	0
Klrk1	206.250000	747	174	127	0	0	471	0	131	0
Osbpl3	206.000000	0	0	0	0	0	1648	0	0	0
Rps21	205.875000	326	0	273	0	0	1048	0	0	0
Nrm	205.375000	0	0	0	0	0	1418	0	225	0
Gm3448	205.125000	485	177	353	0	191	435	0	0	0
Gm3417	205.125000	485	177	353	0	191	435	0	0	0
Akap10	204.125000	222	0	252	0	0	991	0	168	0
Parp11	203.750000	0	0	0	0	0	1630	0	0	0
Tpbg	203.375000	0	0	0	0	0	1627	0	0	0
Lpar5	203.125000	503	0	0	0	0	1122	0	0	0
Hspa14	202.500000	177	0	128	0	156	1159	0	0	0
Cdnf	202.500000	177	0	128	0	156	1159	0	0	0
H3c6	201.625000	288	133	120	0	246	826	0	0	0
Mzt2	201.375000	129	150	103	0	0	1229	0	0	0
Uap1	201.000000	86	0	128	0	0	1394	0	0	0
Nin	200.000000	0	0	0	0	0	1600	0	0	0
Dazap2	199.250000	370	0	168	0	0	836	0	220	0
B4galt1	198.875000	159	186	173	0	0	944	0	129	0
Rundc1	197.875000	238	196	316	0	0	833	0	0	0
Ptges3l	197.875000	238	196	316	0	0	833	0	0	0
Tnfsf14	197.500000	839	156	144	0	0	441	0	0	0
Evi5l	197.500000	214	0	120	0	0	1246	0	0	0
Crtc2	197.125000	248	0	0	0	0	1159	0	170	0
Zfp91	197.000000	580	0	0	0	0	996	0	0	0
Lpxn	197.000000	580	0	0	0	0	996	0	0	0
Crabp2	196.750000	0	0	0	0	0	1574	0	0	0
Osbpl1a	196.250000	0	0	0	0	0	1570	0	0	0
Isca1	195.625000	249	0	114	0	0	1202	0	0	0
Hk1	194.500000	0	0	0	0	0	1556	0	0	0
Ankrd50	194.125000	212	0	0	0	0	1341	0	0	0
Zfp189	193.625000	420	449	305	0	0	375	0	0	0
Mrpl50	193.625000	420	449	305	0	0	375	0	0	0
Gm10509	192.500000	0	0	165	0	0	1375	0	0	0
Sema3b	192.250000	0	0	0	0	0	1160	0	378	0
Nelfa	192.125000	452	85	183	0	120	697	0	0	0
Smap2	192.000000	207	168	212	0	0	782	0	167	0
Espn	190.875000	0	0	0	0	0	1439	0	88	0
Twf1	190.250000	462	0	103	0	0	957	0	0	0
Pgap2	189.750000	355	0	278	0	0	662	0	223	0
Rbks	189.500000	303	0	155	0	0	1058	0	0	0
Babam2	189.500000	303	0	155	0	0	1058	0	0	0
Dhrs9	189.375000	535	0	173	0	0	807	0	0	0
Atp5o	188.500000	435	177	361	0	0	535	0	0	0
Eif3c	188.125000	372	215	316	0	0	602	0	0	0
Crk	187.625000	532	234	263	0	0	472	0	0	0
Atxn7l1	187.250000	0	0	0	0	0	1498	0	0	0
9030025P20Rik	186.625000	485	177	353	0	157	321	0	0	0
Tdg	186.375000	150	0	146	0	0	1195	0	0	0
Vkorc1l1	186.000000	223	0	146	0	0	1010	0	109	0
Pelo	185.875000	172	108	103	0	0	890	0	214	0
Samhd1	185.250000	444	0	232	0	0	806	0	0	0
Cand1	185.125000	146	0	120	0	0	1215	0	0	0
Srp14	184.250000	0	0	0	0	0	1474	0	0	0
Dtymk	183.250000	237	0	0	0	126	1103	0	0	0
Dclk1	183.125000	0	0	0	0	0	1465	0	0	0
Smarcd2	182.250000	439	0	232	0	0	787	0	0	0
Insig1	182.125000	136	0	112	0	0	1209	0	0	0
Vars	181.500000	786	253	276	0	0	137	0	0	0
D17H6S56E-5	181.500000	786	253	276	0	0	137	0	0	0
Nfkbie	181.375000	333	306	394	0	0	418	0	0	0
Kcnn4	180.500000	286	0	0	0	0	1158	0	0	0
Aars	180.250000	323	0	128	0	0	991	0	0	0
Abhd16b	180.000000	0	0	0	0	0	1440	0	0	0
Pdcd6	179.750000	139	0	120	0	0	1025	0	154	0
Ppp1r12a	179.375000	187	0	158	0	0	1090	0	0	0
Dmac2	179.375000	0	0	0	0	0	1435	0	0	0
Orc5	176.875000	270	0	232	0	191	722	0	0	0
Gpd2	176.750000	157	0	0	0	0	1257	0	0	0
Ube2d1	176.375000	0	0	0	0	0	1411	0	0	0
Gsk3a	176.375000	421	159	215	0	0	616	0	0	0
Fam122a	175.000000	155	0	112	0	0	1133	0	0	0
Emp1	174.750000	296	0	0	0	0	870	0	232	0
Sap18b	174.375000	390	177	292	0	102	434	0	0	0
Sap18	174.375000	390	177	292	0	102	434	0	0	0
Spsb1	174.250000	207	0	0	0	0	1187	0	0	0
Arid3a	173.750000	0	0	0	0	0	1219	0	171	0
Gbp2	173.250000	211	0	93	0	0	1082	0	0	0
Mul1	173.125000	148	0	146	0	0	1091	0	0	0
Wdr77	173.000000	381	244	232	0	0	527	0	0	0
Atp5pb	173.000000	381	244	232	0	0	527	0	0	0
Tnip2	172.750000	248	133	316	0	0	545	0	140	0
Sfi1	172.125000	0	0	0	0	0	669	0	708	0
Trex1	172.000000	108	70	0	0	0	1039	0	159	0
Nvl	172.000000	281	0	222	0	0	873	0	0	0
Timp1	171.375000	0	0	0	0	0	1371	0	0	0
Iqch	171.250000	0	0	155	0	0	1215	0	0	0
Aagab	171.250000	0	0	155	0	0	1215	0	0	0
Malt1	170.750000	0	0	0	0	0	1366	0	0	0
Pcif1	170.500000	163	0	251	0	102	848	0	0	0
Timm9	170.250000	347	0	120	0	0	895	0	0	0
2700049A03Rik	170.250000	347	0	120	0	0	895	0	0	0
Mettl21a	170.125000	130	0	0	0	0	1028	0	203	0
Rheb	169.875000	231	0	127	0	0	873	0	128	0
Acot7	169.875000	139	0	0	0	0	1220	0	0	0
Gtf3c6	169.500000	417	628	131	0	0	180	0	0	0
Rab6a	169.375000	377	168	202	0	69	391	0	148	0
Lrmp	169.375000	504	0	146	0	0	705	0	0	0
Cebpd	169.375000	159	0	0	0	0	1045	0	151	0
Nepro	168.750000	257	0	72	0	0	1021	0	0	0
Proser3	168.375000	137	0	0	0	0	1040	0	170	0
Hspb6	168.375000	137	0	0	0	0	1040	0	170	0
Srfbp1	167.875000	459	168	202	0	0	514	0	0	0
Ociad1	167.875000	335	0	304	0	0	704	0	0	0
Cd53	167.750000	504	140	120	0	0	578	0	0	0
Saysd1	166.875000	325	0	145	0	0	865	0	0	0
Mcf2l	166.875000	0	0	0	0	0	1335	0	0	0
Copb2	166.250000	238	200	327	0	0	565	0	0	0
Zfp62	165.750000	508	0	164	0	0	654	0	0	0
Ifnar2	165.500000	0	0	0	0	0	1009	0	315	0
Glg1	165.500000	130	0	137	0	0	871	0	186	0
H3f3b	165.125000	401	256	174	0	184	306	0	0	0
Uqcrc2	163.875000	148	0	0	0	0	1163	0	0	0
Riox1	163.750000	139	0	0	0	0	1171	0	0	0
3300002I08Rik	163.125000	0	0	0	0	0	1305	0	0	0
Kntc1	163.000000	226	0	128	0	0	817	0	133	0
Zbtb32	162.750000	867	146	0	0	0	289	0	0	0
Rer1	162.375000	314	0	284	0	102	599	0	0	0
Morn1	162.375000	314	0	284	0	102	599	0	0	0
Clnk	162.125000	922	225	150	0	0	0	0	0	0
Isy1	161.750000	355	0	316	0	0	623	0	0	0
Naa15	160.875000	270	0	173	0	0	844	0	0	0
Zfp983	160.750000	0	0	139	0	0	1147	0	0	0
Golga7	160.375000	477	0	0	0	0	806	0	0	0
Ppp2r1b	160.125000	0	0	0	0	0	1281	0	0	0
Zfp715	160.000000	117	0	163	0	0	1000	0	0	0
Ppp1r16b	159.000000	545	0	0	0	0	727	0	0	0
Atp5g1	158.750000	345	0	232	0	102	591	0	0	0
Lipg	158.625000	0	0	0	0	0	1269	0	0	0
Csf2ra	158.625000	0	0	0	0	0	1269	0	0	0
Trim21	158.250000	259	0	0	0	0	1007	0	0	0
Clptm1l	158.250000	243	150	284	0	202	387	0	0	0
Ncr1	158.125000	860	140	167	0	98	0	0	0	0
Ndufs8	158.000000	148	0	103	0	0	1013	0	0	0
Spag9	157.500000	214	0	208	0	91	747	0	0	0
Rab18	157.500000	139	0	200	0	0	921	0	0	0
Pitpnm2	157.000000	0	0	0	0	0	1256	0	0	0
Gm3435	156.500000	443	0	183	0	191	435	0	0	0
Hnrnpf	156.375000	348	0	88	0	0	815	0	0	0
Rpl22	155.500000	285	0	137	0	0	569	253	0	0
Tmem33	155.250000	396	0	252	0	0	594	0	0	0
Depdc5	155.125000	0	0	0	0	0	1241	0	0	0
1700034I23Rik	155.125000	0	0	0	0	0	1241	0	0	0
Tnfaip1	154.875000	296	0	273	0	149	521	0	0	0
Rnf185	154.875000	326	0	222	0	0	691	0	0	0
Ift20	154.875000	296	0	273	0	149	521	0	0	0
Zfp458	154.500000	0	0	0	0	0	1236	0	0	0
Shisa5	154.250000	443	176	0	0	0	615	0	0	0
Pdzk1ip1	154.125000	195	0	0	0	0	1038	0	0	0
Arf6	153.500000	0	0	0	0	180	1048	0	0	0
Dock2	153.375000	428	177	246	0	187	189	0	0	0
Eif2ak3	153.125000	420	133	255	0	0	417	0	0	0
Alyref2	152.125000	414	558	145	0	100	0	0	0	0
Npc2	151.875000	235	0	137	0	0	843	0	0	0
Isca2	151.875000	235	0	137	0	0	843	0	0	0
Hfm1	151.750000	0	0	0	0	0	1214	0	0	0
Nudt9	151.500000	196	0	218	0	170	628	0	0	0
H4c1	151.500000	100	0	0	0	0	1112	0	0	0
H3c1	151.500000	100	0	0	0	0	1112	0	0	0
Kat6a	151.250000	512	92	217	0	85	304	0	0	0
Tox4	151.000000	0	0	128	0	0	1080	0	0	0
Rab2b	151.000000	0	0	128	0	0	1080	0	0	0
Zap70	150.875000	157	0	0	0	0	1050	0	0	0
Rpl35	150.750000	0	0	183	0	0	1023	0	0	0
Ptger4	150.625000	0	0	0	0	0	1205	0	0	0
Susd6	149.125000	232	0	173	0	102	686	0	0	0
Washc1	148.875000	661	0	0	0	0	530	0	0	0
Lemd2	148.750000	565	244	222	0	159	0	0	0	0
Txnip	148.625000	373	0	253	0	131	432	0	0	0
Tut7	147.875000	233	133	222	0	201	394	0	0	0
Mettl25	147.875000	314	0	155	0	0	550	164	0	0
Ccdc59	147.875000	314	0	155	0	0	550	164	0	0
Grcc10	147.750000	375	426	214	0	167	0	0	0	0
Rab5a	147.625000	197	0	0	0	0	887	0	97	0
Prpf4b	147.625000	321	0	205	0	0	655	0	0	0
Arih2	147.500000	398	0	0	0	0	782	0	0	0
Prkcsh	147.000000	615	205	222	0	0	134	0	0	0
Ccdc151	147.000000	615	205	222	0	0	134	0	0	0
Rfc2	146.625000	303	0	222	0	0	648	0	0	0
